"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"431","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:00:06,FALSE,NA,"987707555844681729",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KCDurling",3861,TRUE,FALSE,NA,NA
"432","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:05,FALSE,NA,"987707552925437952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NoNiceties",9604,TRUE,FALSE,NA,NA
"433","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:05,FALSE,NA,"987707551440613376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_LilLucyVert",9604,TRUE,FALSE,NA,NA
"434","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:00:03,FALSE,NA,"987707541848248320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IreneeAmaraa",3861,TRUE,FALSE,NA,NA
"435","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 15:00:03,FALSE,NA,"987707541466398722",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anniegirl1138",3861,TRUE,FALSE,NA,NA
"436","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 15:00:00,FALSE,NA,"987707530351529985",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","moonface51",9604,TRUE,FALSE,NA,NA
"437","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 14:59:59,FALSE,NA,"987707524273979393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MadokaMeowgica",9604,TRUE,FALSE,NA,NA
"438","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 14:59:55,FALSE,NA,"987707510634237954",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jenontheedge",9604,TRUE,FALSE,NA,NA
"439","RT @TheTinyDiplomat: I am all alone at my school, but I know I am not alone. 
#nationalschoolwalkout #columbine https://t.co/1zozqfKIYw",FALSE,0,NA,2018-04-21 14:59:54,FALSE,NA,"987707504518877184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArianaWils0n",9604,TRUE,FALSE,NA,NA
"440","RT @biracialbookwrm: My daughter was the only one to walk out at school today. She had a couple tears that no one else caMe with her. 
A be",FALSE,0,NA,2018-04-21 14:59:53,FALSE,NA,"987707499146022912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_taylorwinter",3861,TRUE,FALSE,NA,NA
